Project ID,Sample ID,Site,Age,DNA tested,Sex,Adult (Y/N/unknown),Y-chr Haplogroup,mtDNA Haplogroup,Confirmed Kin,Sample ID for kin,Notes,Site Group
Duxford-3,DUX003,Duxford,Unknown,Y,M,unknown,R1b-P310,T2b3b,No,,,Duxford
Duxford-4,DUX004,Duxford,Unknown,Y,F,unknown,,H6a1b4,No,,,Duxford
Duxford-5,DUX006,Duxford,Adult,Y,M,Y,G2a-L30,J1c2,No,,,Duxford
Duxford-6,,Duxford,Adult,N,F,Y,,,No,,,Duxford
Duxford-7,DUX008,Duxford,Unknown,Y,M,unknown,I2-FGC7113,J1b1a1,No,,,Duxford
Duxford-8,DUX009,Duxford,Unknown,Y,M,unknown,R1b-L754,U4a,No,,,Duxford
Duxford-9,DUX010,Duxford,Unknown,Y,M,unknown,R1b18-Y22442,H2a1,No,,,Duxford
Duxford-10,DUX011,Duxford,Unknown,Y,F,unknown,,H1z,No,,,Duxford
Duxford-11,DUX012,Duxford,Unknown,Y,F,unknown,,HV0+195,No,,,Duxford
Duxford-12,DUX013,Duxford,Unknown,Y,M,unknown,R1b-P297,H6a1b4,No,,,Duxford
Duxford-13,DUX014,Duxford,Unknown,Y,M,unknown,R1b-M269,U5b2c1,No,,,Duxford
Duxford-14,,Duxford,Unknown,Y,untested,unknown,,,No,,,Duxford
Duxford-15,,Duxford,Adult,N,M?,Y,,,No,,,Duxford
Duxford-16,,Duxford,Non-Adult,Y,untested,N,,,No,,,Duxford
Duxford-17,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-18,,Duxford,Non-Adult,Y,untested,N,,,No,,,Duxford
Duxford-19,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-20,DUX016,Duxford,Unknown,Y,M,unknown,,too low coverage,No,,,Duxford
Duxford-21,DUX017,Duxford,Unknown,Y,F,unknown,,H64,No,,,Duxford
Duxford-22,DUX018,Duxford,Unknown,Y,F,unknown,,U4a,No,,,Duxford
Duxford-23,DUX019,Duxford,Unknown,Y,M,unknown,R1b2-CTS6919,I5a2+16086,No,,,Duxford
Duxford-24,DUX020,Duxford,Unknown,Y,F,unknown,,H,No,,,Duxford
Duxford-25,DUX021,Duxford,Unknown,Y,F,unknown,,H7b,No,,,Duxford
Duxford-26,DUX022,Duxford,Unknown,Y,F,unknown,,H3,No,,,Duxford
Duxford-27,DUX023,Duxford,Unknown,Y,F,unknown,,K1a+195,No,,,Duxford
Duxford-28,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-29,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-30,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-31,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-32,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-33,,Duxford,Non-Adult,Y,untested,N,,,No,,,Duxford
Duxford-34,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
Duxford-35,,Duxford,Unknown,Y,untested,unknown,,,No,,,Duxford
Duxford-36,,Duxford,Adult,Y,untested,Y,,,No,,,Duxford
